The Core Computer Business (Pty) Ltd,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,,,,
Apple Reseller Program Price List,,,,
,,,,
,,,,
Effective from 18 June 2025,,,,
,,,,
Items in Red are on Promotion: Ends 30th June 2025 or While Stocks Last,,,,
,,,,
Due to the volatility of the Rand/US Dollar exchange rate please note that the prices published by Core Group may change without notice.,,,,
Should you wish to include these prices in customer quotations please note that the Core Group may not be able to honour the published prices.,,,,
EO&E,,,,
"The reseller is responsible for determining its own prices for the resale of products. Although Core may suggest retail prices, these are suggestions only and the reseller is entirely free to determine the actual prices at which products will be sold.",,,,
,ARP_P1,,,
,,,,
,ARP_P1,,"Wholesale
(ZAR Excl VAT)","RRP 
(ZAR Incl VAT)"
1 - CPU,,,,
DISPLAYS,,,,
MQH63SO/A,"MAC STUDIO: APPLE M2 ULTRA CHIP WITH 24‑CORE CPU, 60‑CORE GPU, 1TB SSD",WHILE STOCKS LAST,62955,79999
MU963SO/A,"MAC STUDIO: APPLE M4 MAX CHIP WITH 14‑CORE CPU, 32‑CORE GPU, 36GB, 512GB",ACTIVE,37379,47499
MU973SO/A,"MAC STUDIO: APPLE M3 ULTRA CHIP WITH 28‑CORE CPU, 60‑CORE GPU, 96GB, 1TB",ACTIVE,75547,95999
MACBOOK AIR M1,,,,
MGN63ZE/A,"13-INCH MACBOOK AIR: APPLE M1 CHIP WITH 8-CORE CPU AND 7-CORE GPU, 256GB - SPACE GREY",WHILE STOCKS LAST,10780,13699
MACBOOK AIR M2,,,,
MC7V4ZE/A,"13-INCH MACBOOK AIR: APPLE M2 CHIP WITH 8-CORE CPU AND 8-CORE GPU, 16GB, 256GB - SILVER",WHILE STOCKS LAST,14164,17999
MC7W4ZE/A,"13-INCH MACBOOK AIR: APPLE M2 CHIP WITH 8-CORE CPU AND 8-CORE GPU, 16GB, 256GB - STARLIGHT",ACTIVE,13450,17999
MC7X4ZE/A,"13-INCH MACBOOK AIR: APPLE M2 CHIP WITH 8-CORE CPU AND 8-CORE GPU, 16GB, 256GB - MIDNIGHT",ACTIVE,13450,17999
MACBOOK AIR M3,,,,
MXCT3ZE/A,"13-INCH MACBOOK AIR: APPLE M3 CHIP WITH 8-CORE CPU AND 10-CORE GPU, 16GB, 512GB SSD - SILVER",WHILE STOCKS LAST,18886,23999
MXD43ZE/A,"15-INCH MACBOOK AIR: APPLE M3 CHIP WITH 8-CORE CPU AND 10-CORE GPU, 16GB, 512GB SSD - MIDNIGHT",WHILE STOCKS LAST,22820,28999
MC8K4ZE/A,"13-INCH MACBOOK AIR: APPLE M3 CHIP WITH 8-CORE CPU AND 8-CORE GPU, 16GB, 256GB SSD - MIDNIGHT",WHILE STOCKS LAST,15738,19999
"MACBOOK PRO 14""",,,,
MRX53ZE/A,"14-INCH MACBOOK PRO: APPLE M3 MAX CHIP WITH 14‑CORE CPU AND 30‑CORE GPU, 1TB SSD - SPACE BLACK",WHILE STOCKS LAST,47216,59999
MCX04ZE/A,"14-INCH MACBOOK PRO: APPLE M4 CHIP WITH 10‑CORE CPU AND 10‑CORE GPU, 24GB, 1TB SSD - SPACE BLACK",ACTIVE,36199,45999
